session_id,scenario,pedId,speed_total_mean,steering_total_mean,brake_total_mean,throttle_total_mean,acceleration_total_mean,speed_total_var,steering_total_var,brake_total_var,throttle_total_var,acceleration_total_var,max_speed,PKE,PKE_Steering,speed_react,distancePed,reaction_time,pedestriansLevel,visibilityLevel,trafficLevel,hadCollision
144.0,1.0,1.0,6.978462424427006,0.49364400701915095,0.9472436102845805,0.8134654764629593,-0.0006234000000000117,13.607109421851051,0.00042031011647477337,0.02133869820335012,0.032906744316212086,0.05040428276863576,11.6697655,1.1059745502490128,-1848505.795288274,7.75488043,23.56253,1.039767,0,1,0,0
144.0,1.0,3.0,7.0455990663749954,0.5048898298619044,0.8755410086213476,0.9112109559777218,-0.04525526039999999,33.66391903907221,0.00017587059913451677,0.06536009684785091,0.0024293898900468896,0.06896245039770055,13.49971,0.07772670771750428,0.0,13.472353,39.89528,2.100099,0,1,0,0
144.0,1.0,15.0,10.263041036724996,0.47831868467231253,0.8176786449988555,0.5950125886930633,-0.017067523000000015,76.87399723495304,0.001610156994920946,0.10511921217135234,0.07630244576512121,0.7057611876933235,25.8513966,5.013003242900879,699619.566560219,25.5851116,49.3743134,0.10026700000000001,0,1,0,1
144.0,2.0,6.0,7.264643847235002,0.5146810864423577,0.801175097276265,0.6531843289845104,-0.03917112595000002,54.85231327530213,0.0004174381777298289,0.031044698003074335,0.038021832596341516,0.07958721415976786,20.0676117,4.19922261857481,-2257110.327210444,15.8585005,48.8766479,1.601763,2,1,0,1
144.0,2.0,12.0,9.49416061539279,0.505995574883649,0.6538542763408873,0.8086836804760809,-0.1438826375,87.90051445351504,0.0001301162452165637,0.10653128341580685,0.05669815578229584,0.14109002567186987,29.754022600000003,1.5057379916335172,797415.120184157,11.27523,34.672924,1.8022960000000001,2,1,0,1
144.0,2.0,14.0,13.098608982257003,0.5151040665293345,0.908651102464332,0.5734881361104758,-0.0048615980000000295,54.56825514967356,0.0011927495619709055,0.05787669702640681,0.04505379222758097,0.13092004943464408,21.463996899999998,1.6243612162292995,-3095620.5732485717,20.3895664,49.95775,0.9003960000000001,2,1,0,0
144.0,3.0,4.0,8.397519181397499,0.5011278706034948,0.9295101091020066,0.7052087434195471,0.021539526500000006,15.05646313241177,0.0010864787642857674,0.03542812128543432,0.057447236319665265,0.07822176232141471,13.639795300000001,3.38584947156751,-825996.1728828514,12.324150999999999,38.43093,1.0002090000000001,1,0,0,0
144.0,3.0,18.0,12.806928937871346,0.5001618219272146,0.8203544670786604,0.427880903334096,0.04800971549999998,54.044887719295346,4.0896826007404026e-05,0.1249651198476177,0.10687145649617102,0.15470043571075862,22.9012928,6.6232680201856216,-472587.7200071291,20.086931200000002,49.456990000000005,1.0608220000000002,1,0,0,0
144.0,4.0,2.0,9.864267562150001,0.49479446097505175,0.9860516517891196,0.8628979171435099,-0.017043452700000006,7.516353310966518,0.0005659174589340645,0.0019768238303335527,0.006253988379730353,0.020482049010380202,13.523346900000002,1.1828123066686949,-3177600.266484143,12.759472800000001,37.989502,1.200194,1,1,0,0
144.0,4.0,5.0,8.740110042610002,0.4954509040970477,0.9546632333867396,0.7243002212558176,-0.022798581000000005,19.979667771106126,0.0008326913652156511,0.00828723963014891,0.049256595838040894,0.09035659856500583,15.0433264,2.071275872472418,-628093.9372059087,14.280529999999999,42.79891,1.04077,1,1,0,0
144.0,4.0,11.0,11.358219684833298,0.49729106584268046,0.8784450293736176,0.792067521171893,-0.0438814685,66.70416064032206,9.888141623891973e-06,0.06273148878134613,0.02546334293391734,0.11330246080118299,19.5910378,0.02538786630415234,-170885.0772395078,19.2379589,49.91709,1.1600860000000002,1,1,0,0
144.0,4.0,18.0,4.921062470000014,0.514884260318912,0.9996428625925078,0.9779758144502935,0.0,0.0,1.815330393342016e-07,1.838908338871846e-05,0.0019065670671767,0.0,4.92106247,0.0,0.0,4.92106247,40.7621346,0.0,1,1,0,0
144.0,6.0,1.0,8.608211519449997,0.5102397192339977,0.986805981536583,0.7647853818570236,0.03863757184999999,8.952805167853432,0.0005359520590310676,0.0017380770561543555,0.013923431449292008,0.02893056292224618,13.4118586,3.2963270874513633,-1550170.3958174917,13.176829999999999,39.9658,0.7605230000000001,1,1,1,0
144.0,6.0,3.0,3.6220599902711488,0.487674219882505,0.8790218966964215,0.8384328221560999,0.0035041982499999925,5.316448756298223,0.001041389232040029,0.06945911949946697,0.026771725664094387,0.0388414549011701,7.5630869999999994,1.0222653841916158,-5869334.425926619,4.39304924,13.130440700000001,0.860288,1,1,1,0
144.0,6.0,8.0,1.18428242691799,0.5127620355535195,0.5417066453040362,0.9130285343709468,-0.00808913999999999,2.3613211096737587,6.2079599452663795e-06,0.1863397772232536,0.028994761430749274,0.07008956635346292,7.272146,3.641278860632177,1265913.4652411737,7.272146,6.15717936,0.0,1,1,1,1
144.0,6.0,19.0,2.410362239999995,0.507087815671014,0.9640677500572212,0.9526997024490726,0.0,0.0,0.0,0.014572787994141136,0.009715211533242488,0.0,2.41036224,0.0,0.0,2.41036224,14.169267699999999,0.0,1,1,1,0
147.0,1.0,1.0,8.602499671200007,0.5108672465094991,0.9962499427786676,0.821923704890516,0.0209761513,14.417508980959617,0.0005608249783586847,0.0004219674611900832,0.03132898407449238,0.018103921682898885,13.2978926,2.1587639834060486,-3088393.6738170274,12.932367300000001,38.5719261,1.441335,0,1,0,0
