pedId,speed_total_mean,steering_total_mean,brake_total_mean,throttle_total_mean,acceleration_total_mean,speed_total_var,steering_total_var,brake_total_var,throttle_total_var,acceleration_total_var,total_time,distancePed,max_speed,PKE,PKE_Steering,speed_react,reaction_time,pedestriansLevel,visibilityLevel,trafficLevel,gender,age,job,LatestDegree,oftenDrive,accidents,yearsDriving,lastDrive(years),speedingTickets,hadCollision
1.0,6.978462424427006,0.49364400701915095,0.9472436102845805,0.8134654764629593,-0.0006234000000000117,13.607109421851051,0.00042031011647477337,0.02133869820335012,0.032906744316212086,0.05040428276863576,9.958178,68.92052,11.6697655,1.11062333054671,-0.0004322110518487453,7.75488043,1.048791,0,1,0,0,32,0,0,2,0,10,1.0,0,0
3.0,7.0455990663749954,0.5048898298619044,0.8755410086213476,0.9112109559777218,-0.04525526039999999,33.66391903907221,0.00017587059913451677,0.06536009684785091,0.0024293898900468896,0.06896245039770055,9.961018000000001,69.35954,13.49971,0.0846260707111376,0.0,13.472353,2.106615,0,1,0,0,32,0,0,2,0,10,1.0,0,0
15.0,10.263041036724996,0.47831868467231253,0.8176786449988555,0.5950125886930633,-0.017067523000000015,76.87399723495304,0.001610156994920946,0.10511921217135234,0.07630244576512121,0.7057611876933235,9.941460000000001,96.8852844,25.8513966,5.246325508890496,0.00017047966642585706,25.5851116,0.079211,0,1,0,0,32,0,0,2,0,10,1.0,0,1
2.0,11.669418578675495,0.5006609379650016,0.8919128699744387,0.5223648250239877,0.008028352317880799,47.209284519811796,0.0003960338624366611,0.055981971440963924,0.1125510880812414,0.1591976172107762,7.505478,88.01161,20.05507,2.9696465434380506,-0.0002579138362840454,19.412086499999997,1.1615920000000002,2,1,0,0,32,0,0,2,0,10,1.0,0,0
4.0,12.187044273627425,0.49976880401966206,0.8611317398554752,0.5581195653358615,0.0018807982857142896,42.0314234707029,0.00042965620219379534,0.10244240006434291,0.07902282492631472,0.15882230974587522,8.681609,105.97368600000001,19.6970043,4.033468151376957,6.623562568872085e-05,18.4610558,1.2758960000000001,2,1,0,0,32,0,0,2,0,10,1.0,0,0
5.0,13.12275136833333,0.48619645403806583,0.8855890275894853,0.588214948755118,-0.046148085897435874,15.844197139128076,0.0030112959993853165,0.03898233781089861,0.0505994568272941,0.1346521638139387,3.820183,51.9160461,17.404094699999998,0.2520669691428479,-1.982121240396502e-05,14.1204233,1.446366,2,1,0,0,32,0,0,2,0,10,1.0,0,0
6.0,7.264643847235002,0.5146810864423577,0.801175097276265,0.6531843289845104,-0.03917112595000002,54.85231327530213,0.0004174381777298289,0.031044698003074335,0.038021832596341516,0.07958721415976786,9.928426,69.3767548,20.0676117,3.866378405978709,-0.0005690671997238573,15.8585005,1.5887280000000001,2,1,0,0,32,0,0,2,0,10,1.0,0,1
7.0,6.860759098094015,0.5046352865533463,0.9136832344431333,0.4551620162515105,0.04879438974358974,16.56400770192676,0.001684389480773115,0.0261823376383956,0.05402272156687484,0.11748288048570997,5.787903,42.4915581,13.632440599999999,1.3401130869197628,-0.0005310959078375368,10.126198800000001,0.932983,2,1,0,0,32,0,0,2,0,10,1.0,0,0
12.0,9.49416061539279,0.505995574883649,0.6538542763408873,0.8086836804760809,-0.1438826375,87.90051445351504,0.0001301162452165637,0.10653128341580685,0.05669815578229584,0.14109002567186987,11.611902,94.5815353,29.754022600000003,1.8889655971513264,0.00023292306635208082,11.27523,1.7927700000000002,2,1,0,0,32,0,0,2,0,10,1.0,0,1
14.0,13.098608982257003,0.5151040665293345,0.908651102464332,0.5734881361104758,-0.0048615980000000295,54.56825514967356,0.0011927495619709055,0.05787669702640681,0.04505379222758097,0.13092004943464408,9.971537000000001,124.75380700000001,21.463996899999998,1.6632407746396722,-0.0007380293418558617,20.3895664,0.8918740000000001,2,1,0,0,32,0,0,2,0,10,1.0,0,0
4.0,8.397519181397499,0.5011278706034948,0.9295101091020066,0.7052087434195471,0.021539526500000006,15.05646313241177,0.0010864787642857674,0.03542812128543432,0.057447236319665265,0.07822176232141471,9.936728,82.18078609999999,13.639795300000001,3.0087143114399963,-3.782325117342986e-05,12.324150999999999,1.0017120000000002,1,0,0,0,32,0,0,2,0,10,1.0,0,0
6.0,12.495546412935413,0.4977136104117393,0.9116784765138223,0.6604281904071617,-0.002577120833333344,48.48878170828099,0.00046737985008205604,0.04021175886200813,0.0922128127766935,0.10646036650586203,9.522843,119.06923700000002,20.048406600000003,1.406608483742412,0.00010956575813768426,18.817585,1.168609,1,0,0,0,32,0,0,2,0,10,1.0,0,0
8.0,13.16442590228481,0.49524942223355467,0.7490000994733707,0.5099179779285001,-0.028164728481012622,69.69667921132394,5.554149100402949e-05,0.1755285792975976,0.08407849699393674,0.1838984675579081,7.854406000000001,101.823608,24.1594524,0.4138893635742513,-4.002934528658791e-05,21.26771,1.157581,1,0,0,0,32,0,0,2,0,10,1.0,0,0
2.0,9.864267562150001,0.49479446097505175,0.9860516517891196,0.8628979171435099,-0.017043452700000006,7.516353310966518,0.0005659174589340645,0.0019768238303335527,0.006253988379730353,0.020482049010380202,9.930313,99.00106,13.523346900000002,1.2110099093076498,-0.0007575032806046969,12.759472800000001,1.2011960000000002,1,1,1,0,32,0,0,2,0,10,1.0,0,0
5.0,8.740110042610002,0.4954509040970477,0.9546632333867396,0.7243002212558176,-0.022798581000000005,19.979667771106126,0.0008326913652156511,0.00828723963014891,0.049256595838040894,0.09035659856500583,9.945467,91.05359,15.0433264,2.301143976319292,-0.00016247398766249996,14.280529999999999,1.02573,1,1,1,0,32,0,0,2,0,10,1.0,0,0
